question,answer
what is autonomous ai,AI systems that can operate independently without human input.
what is conversational ai,AI that can engage in human-like dialogue.
what is recommendation system,A system suggesting relevant items to users based on preferences.
what is natural language generation,AI generating human-readable text from structured data.
what is named entity recognition,Identifying and classifying named entities in text.
what is text classification,Assigning categories to text documents automatically.
what is machine translation,Automatically translating text from one language to another.
what is question answering system,An AI system that answers questions posed in natural language.
what is text summarization,Automatically creating a condensed version of a text document.
what is speech synthesis,Converting text into spoken audio using AI.
what is face recognition,Identifying or verifying a person from their facial features.
what is pose estimation,Detecting the position and orientation of a human body.
what is anomaly detection,Identifying unusual patterns that deviate from expected behavior.
what is time series forecasting,Predicting future values based on historical time-ordered data.
what is data labeling,Adding informative tags to raw data for supervised learning.
what is synthetic data,Artificially generated data that mimics real-world data.
what is a diffusion model,A generative model learning to create data by reversing noise.
what is stable diffusion,An open-source AI model for generating images from text prompts.
what is dall-e,An AI model by OpenAI that generates images from text descriptions.
what is midjourney,An AI program that generates images from natural language prompts.
what is openai,An AI research organization behind ChatGPT and GPT models.
what is chatgpt,An AI chatbot developed by OpenAI using large language models.
what is responsible ai,Developing and deploying AI in an ethical and accountable manner.
what is a training loop,The iterative process of feeding data and updating model weights.
what is inference in ai,Using a trained model to make predictions on new data.
what is model evaluation,Assessing a model's performance using metrics and test data.
what is stratified sampling,Sampling that maintains the proportion of classes in each split.
what is k-fold cross validation,Dividing data into k subsets and training k times rotating the test set.
what is leave one out cv,Cross validation where each sample is used once as a test set.
what is r squared,A metric measuring how well a regression model fits the data.
what is mae,Mean Absolute Error measuring average prediction errors.
what is rmse,Root Mean Squared Error penalizing large prediction errors.
what is log loss,A loss function measuring the performance of a classification model.
what is silhouette score,A metric measuring how similar a point is to its own cluster.
what is elbow method,A technique for finding the optimal number of clusters.
what is t-sne,A technique for visualizing high-dimensional data in 2D or 3D.
what is umap,Uniform Manifold Approximation for dimensionality reduction.
what is lasso regression,Linear regression with L1 regularization for feature selection.
what is ridge regression,Linear regression with L2 regularization to prevent overfitting.
what is elastic net,A regression combining L1 and L2 regularization penalties.
what is stochastic gradient descent,Gradient descent updating weights using one sample at a time.
what is mini batch gradient descent,Gradient descent using small batches of samples per update.
what is learning rate scheduling,Adjusting the learning rate during training for better convergence.
what is momentum in optimization,Accelerating gradient descent by considering previous updates.
what is vanishing gradient problem,When gradients become too small for effective learning in deep networks.
what is exploding gradient problem,When gradients become too large causing unstable training.
what is gradient clipping,Limiting gradient values to prevent the exploding gradient problem.
what is residual network,A deep network using skip connections to ease training.
what is u-net,A convolutional network architecture used for image segmentation.
what is yolo,You Only Look Once a real-time object detection algorithm.
what is vgg,A deep CNN architecture known for using small convolutional filters.
what is inception network,A CNN architecture using multiple filter sizes in parallel.
what is mobilenet,A lightweight CNN designed for mobile and embedded devices.
what is efficientnet,A CNN architecture that scales depth width and resolution.
what is variational autoencoder,A generative model learning a latent representation of data.
what is contrastive learning,Learning representations by comparing similar and dissimilar pairs.
what is curriculum learning,Training a model with gradually increasing difficulty of examples.
what is label smoothing,A technique replacing hard labels with soft probability distributions.
what is mixup augmentation,Creating new training data by blending pairs of examples.
what is a data warehouse,A central repository for integrated data from multiple sources.
what is a data lake,A storage system holding vast amounts of raw data.
what is etl,Extract Transform Load process for data integration.
what is apache spark,An open-source engine for large-scale data processing.
what is hadoop,An open-source framework for distributed storage and processing.
what is apache kafka,A distributed event streaming platform for real-time data.
what is terraform,An infrastructure as code tool for building cloud resources.
what is ansible,An open-source automation tool for configuration management.
what is ci cd pipeline,Automated workflows for building testing and deploying code.
what is infrastructure as code,Managing infrastructure through machine-readable configuration files.
what is site reliability engineering,A discipline applying software engineering to operations problems.
what is chaos engineering,Testing system resilience by introducing controlled failures.
what is observability,The ability to measure a system's state from its outputs.
what is monitoring in tech,Tracking system performance and health in real time.
what is load balancing,Distributing network traffic across multiple servers.
what is caching,Storing frequently accessed data for faster retrieval.
what is cdn,A Content Delivery Network distributing content closer to users.
what is websocket,A protocol providing full-duplex communication over a single connection.
what is oauth,An open standard for access delegation and authorization.
what is jwt,JSON Web Token used for securely transmitting information.
what is ssl,Secure Sockets Layer for encrypted communication.
what is tls,Transport Layer Security the successor to SSL.
what is cors,Cross-Origin Resource Sharing allowing restricted resources on a web page.
what is csrf,Cross-Site Request Forgery a web security vulnerability.
what is xss,Cross-Site Scripting injecting malicious scripts into web pages.
what is sql injection,A code injection technique exploiting SQL query vulnerabilities.
what is ddos attack,Distributed Denial of Service overwhelming a server with traffic.
what is two factor authentication,A security process requiring two forms of identification.
what is zero trust security,A security model that never trusts and always verifies.
what is penetration testing,Simulating cyberattacks to identify security vulnerabilities.
what is ethical hacking,Authorized hacking to find and fix security vulnerabilities.
what is a neural processing unit,A specialized chip designed for accelerating AI workloads.
what is tpu,A Tensor Processing Unit designed by Google for machine learning.
what is fpga,Field Programmable Gate Array a configurable integrated circuit.
what is moore's law,The observation that transistor count doubles approximately every two years.
what is 6g,The anticipated sixth generation of wireless technology.
what is li-fi,A wireless technology using light for data transmission.
what is mesh networking,A network where devices connect directly and dynamically.
what is digital literacy,The ability to use digital technology effectively.
what is computational thinking,Problem-solving using concepts fundamental to computing.
what is gamification in education,Using game elements in educational contexts to increase engagement.
what is blended learning,Combining online digital media with traditional classroom methods.
what is flipped classroom,Students study material at home and do activities in class.
what is project based learning,Learning through actively exploring real-world problems.
what is montessori method,A child-centered educational approach based on self-directed activity.
what is bloom's taxonomy,A classification of educational learning objectives into levels.
what is formative assessment,Ongoing assessment during the learning process to monitor progress.
what is summative assessment,Assessment at the end of a learning period to evaluate outcomes.
what is rubric in education,A scoring guide used to evaluate student work quality.
what is iq,Intelligence Quotient a measure of intellectual ability.
what is emotional intelligence,The ability to understand and manage emotions effectively.
what is lifelong learning,Ongoing voluntary pursuit of knowledge throughout life.
what is vocational education,Training focused on practical skills for a specific occupation.
what is special education,Tailored instruction for students with learning disabilities or needs.
what is inclusive education,Ensuring all students regardless of ability learn together.
what is academic integrity,Maintaining honesty and responsibility in academic work.
what is a research paper,A formal document presenting original research findings.
what is a bibliography,A list of sources referenced in a research work.
what is a citation,A reference to a published or unpublished source.
what is apa format,A citation style by the American Psychological Association.
what is mla format,A citation style by the Modern Language Association.
what is a literature review,A survey of scholarly sources on a specific topic.
what is a case study,An in-depth investigation of a single subject or group.
what is hypothesis,A proposed explanation made as a starting point for investigation.
what is qualitative research,Research focused on understanding concepts and experiences.
what is quantitative research,Research focused on numerical data and statistical analysis.
what is an abstract in research,A brief summary of a research paper or article.
what is a design pattern,A reusable solution to a commonly occurring software problem.
what is mvc pattern,Model-View-Controller separating data presentation and logic.
what is singleton pattern,A pattern ensuring a class has only one instance.
what is factory pattern,A pattern creating objects without specifying the exact class.
what is observer pattern,A pattern where objects are notified of state changes.
what is strategy pattern,A pattern defining a family of interchangeable algorithms.
what is solid principles,Five design principles for maintainable object-oriented software.
what is dry principle,Do not Repeat Yourself avoiding code duplication.
what is kiss principle,Keep It Simple Stupid favoring simplicity in design.
what is yagni principle,You Ain't Gonna Need It avoid premature feature development.
what is clean code,Code that is easy to read understand and maintain.
what is code smell,A surface indication of a deeper problem in code.
what is a monolith,A single unified software application with all components together.
what is event driven architecture,A pattern where system behavior is determined by events.
what is domain driven design,A software design approach focusing on the core business domain.
what is test driven development,Writing tests before writing the code to pass them.
what is behavior driven development,Extending TDD with natural language test descriptions.
what is continuous monitoring,Ongoing observation of systems for performance and security.
what is a load test,Testing how a system performs under expected user load.
what is a stress test,Testing how a system behaves under extreme conditions.
what is an orm,Object-Relational Mapping bridging objects and database tables.
what is a migration in coding,Scripts that modify database schema over time.
what is a webhook,An HTTP callback triggered by an event in a system.
what is a cron job,A scheduled task that runs automatically at specified times.
what is a daemon,A background process running without user interaction.
what is a shell,A command-line interface for interacting with the operating system.
what is bash,A Unix shell and command language for scripting.
what is powershell,A task automation framework by Microsoft with a command-line shell.
what is regex,Regular expressions defining search patterns for text matching.
what is a build tool,Software automating the process of compiling and packaging code.
what is webpack,A module bundler for JavaScript applications.
what is npm,Node Package Manager for installing JavaScript packages.
what is yarn,A fast reliable alternative package manager for JavaScript.
what is a package manager,A tool that automates installing and managing software dependencies.
what is linting,Analyzing code for potential errors and style issues.
what is prettier,A code formatter enforcing consistent style automatically.
what is eslint,A pluggable linting utility for JavaScript and TypeScript.
what is docker compose,A tool for defining and running multi-container Docker applications.
what is a virtual machine,Software emulating a complete computer system.
what is a hypervisor,Software creating and managing virtual machines.
what is containerization,Packaging applications with their dependencies into containers.
what is a binary tree,A tree data structure where each node has at most two children.
what is a graph data structure,A collection of nodes connected by edges.
what is breadth first search,An algorithm exploring all neighbors at the current depth first.
what is depth first search,An algorithm exploring as far as possible along each branch first.
what is dynamic programming,Solving complex problems by breaking them into overlapping subproblems.
what is a greedy algorithm,An algorithm making the locally optimal choice at each step.
what is merge sort,A divide-and-conquer sorting algorithm with O(n log n) complexity.
what is quick sort,An efficient sorting algorithm using a pivot element to partition.
what is bubble sort,A simple sorting algorithm comparing adjacent elements repeatedly.
what is insertion sort,A sorting algorithm building the sorted array one item at a time.
what is a heap data structure,A tree-based structure where parent nodes follow a heap property.
what is a trie,A tree structure used for efficient string searching and storage.
what is memoization,Caching function results to avoid redundant computations.
what is time complexity,A measure of how runtime grows relative to input size.
what is space complexity,A measure of how memory usage grows relative to input size.
what is amortized analysis,Averaging the time of operations over a sequence of operations.
what is a race condition in code,A bug where behavior depends on the timing of uncontrolled events.
what is a deadlock,A state where two or more processes block each other indefinitely.
what is a semaphore,A synchronization primitive controlling access to shared resources.
what is a mutex,A mutual exclusion lock preventing concurrent access to a resource.
what is concurrency in coding,Managing multiple tasks making progress within overlapping time.
what is parallelism in coding,Executing multiple tasks simultaneously on multiple processors.
what is garbage collection,Automatic memory management reclaiming unused memory.
what is the great wall of china,A series of fortifications built along northern China.
what is the pythagorean theorem,In a right triangle a squared plus b squared equals c squared.
who invented electricity,Benjamin Franklin is famous for his experiments with electricity.
what is the formula for area of a circle,The area of a circle is pi times radius squared.
what is pi,Pi is approximately 3.14159 representing the ratio of circumference to diameter.
what is democracy,A system of government where power is vested in the people.
what is the united nations,An international organization promoting peace and cooperation.
who invented the light bulb,Thomas Edison is credited with inventing the practical light bulb.
what is the milky way,The galaxy containing our solar system.
how far is the moon from earth,The moon is approximately 384400 kilometers from Earth.
what is the great barrier reef,The world's largest coral reef system off the coast of Australia.
what is climate change,Long-term changes in temperature and weather patterns.
what is the greenhouse effect,Trapping of heat in Earth's atmosphere by greenhouse gases.
what is renewable energy,Energy from sources that are naturally replenished like solar and wind.
what is solar energy,Energy harnessed from the sun using solar panels.
what is wind energy,Energy generated by converting wind into electricity.
what causes earthquakes,Sudden release of energy in Earth's crust causing seismic waves.
what causes volcanoes to erupt,Magma rising to the surface due to pressure buildup underground.
what is the amazon rainforest,The largest tropical rainforest located in South America.
what is the sahara desert,The largest hot desert in the world located in North Africa.
what is the bermuda triangle,A region in the Atlantic Ocean known for mysterious disappearances.
who wrote romeo and juliet,William Shakespeare wrote Romeo and Juliet.
who was albert einstein,A physicist who developed the theory of relativity.
what is e equals mc squared,Einstein's equation relating energy mass and the speed of light.
what is the theory of relativity,Einstein's theory describing the relationship between space and time.
what is an ecosystem,A community of living organisms interacting with their environment.
what is biodiversity,The variety of life forms in a particular habitat or ecosystem.
what is the water cycle,The continuous movement of water through Earth's systems.
what is the food chain,A series of organisms each dependent on the next as a source of food.
what is the ph scale,A scale measuring how acidic or basic a substance is from 0 to 14.
what is the speed of sound,Approximately 343 meters per second in air at room temperature.
what is a black hole,A region of space where gravity is so strong nothing can escape.
what is a supernova,A powerful explosion marking the death of a massive star.
what is a light year,The distance light travels in one year about 9.46 trillion kilometers.
what is the big bang theory,The leading theory explaining the origin of the universe.
what is a constellation,A group of stars forming a recognizable pattern in the sky.
what is the fibonacci sequence,A series where each number is the sum of the two preceding ones.
what are prime numbers,Numbers greater than 1 divisible only by 1 and themselves.
what is the golden ratio,Approximately 1.618 found in nature art and architecture.
what is a vaccine,A biological preparation providing immunity against a disease.
what is an antibiotic,A medicine used to treat bacterial infections.
what is the human genome,The complete set of genetic information in a human being.
what is stem cell,An undifferentiated cell that can develop into specialized cells.
what is an isotope,Atoms of the same element with different numbers of neutrons.
what is a catalyst,A substance that speeds up a chemical reaction without being consumed.
what is entropy,A measure of disorder or randomness in a system.
what is kinetic energy,The energy an object possesses due to its motion.
what is potential energy,Stored energy based on an object's position or configuration.
what is the electromagnetic spectrum,The range of all types of electromagnetic radiation.
what is a semiconductor,A material with conductivity between a conductor and an insulator.
what is fiber optics,Technology using thin glass fibers to transmit data as light.
what is a transistor,A semiconductor device used to amplify or switch electronic signals.
what is a microprocessor,An integrated circuit that contains the functions of a CPU.
what is embedded systems,Computer systems designed for specific dedicated functions.
what is real time operating system,An OS that processes data as it comes in within a time constraint.
what is the osi model,A seven-layer model describing how network communication works.
what is tcp ip,The fundamental communication protocol suite of the internet.
what is a subnet mask,A number distinguishing the network and host portions of an IP address.
what is nat,Network Address Translation mapping private IPs to public IPs.
what is dhcp,Dynamic Host Configuration Protocol assigning IP addresses automatically.
what is ftp,File Transfer Protocol for transferring files between systems.
what is ssh,Secure Shell a protocol for secure remote access to systems.
what is smtp,Simple Mail Transfer Protocol for sending email messages.
what is imap,Internet Message Access Protocol for receiving email messages.
what is a proxy server,An intermediary server between a client and the internet.
what is a reverse proxy,A server that forwards requests to backend servers on behalf of clients.
what is a socket in networking,An endpoint for communication between two machines.
what is a port number,A numerical identifier for a specific process or service on a system.
what is network topology,The arrangement of elements in a computer network.
what is a switch in networking,A device connecting multiple devices on a local network.
what is a router,A device forwarding data packets between computer networks.
what is a protocol,A set of rules governing data communication.
what is packet switching,A method of data transmission where data is broken into packets.
what is a relational database,A database organizing data into tables with rows and columns.
what is acid in databases,Atomicity Consistency Isolation Durability properties of transactions.
what is a primary key,A unique identifier for each record in a database table.
what is a foreign key,A field in one table that refers to the primary key of another.
what is indexing in databases,Creating data structures to improve query retrieval speed.
what is a stored procedure,A prepared SQL code saved for reuse in a database.
what is a database trigger,A procedure automatically executed in response to a database event.
what is mongodb,A popular NoSQL document-oriented database.
what is postgresql,An advanced open-source relational database management system.
what is mysql,An open-source relational database management system.
what is redis,An in-memory data structure store used as a database and cache.
what is elasticsearch,A distributed search and analytics engine.
what is data normalization,Organizing data to reduce redundancy and improve integrity.
what is denormalization,Adding redundancy to a database to improve read performance.
what is a view in sql,A virtual table based on the result of a SQL query.
what is a join in sql,Combining rows from two or more tables based on a related column.
what is an inner join,Returns only matching rows from both tables.
what is a left join,Returns all rows from the left table and matching rows from the right.
what is group by in sql,Grouping rows sharing a property to apply aggregate functions.
what is having in sql,Filtering groups after GROUP BY based on aggregate conditions.
what is a subquery,A query nested inside another SQL query.
what is react,A JavaScript library for building user interfaces by Meta.
what is angular,A TypeScript-based web application framework by Google.
what is vue.js,A progressive JavaScript framework for building user interfaces.
what is svelte,A compiler-based JavaScript framework for building fast web apps.
what is next.js,A React framework for server-side rendering and static sites.
what is node.js,A JavaScript runtime built on Chrome's V8 engine for server-side code.
what is express.js,A minimal web framework for Node.js.
what is deno,A secure runtime for JavaScript and TypeScript.
what is graphql api,An API approach letting clients request exactly the data they need.
what is responsive design,Designing websites that adapt to different screen sizes.
what is progressive web app,A web app providing native app-like features and offline access.
what is single page application,A web app loading a single page and dynamically updating content.
what is server side rendering,Rendering web pages on the server before sending to the client.
what is static site generation,Pre-rendering pages at build time for fast delivery.
what is web accessibility,Designing websites usable by people with disabilities.
what is aria in web,Accessible Rich Internet Applications attributes for accessibility.
what is dom,The Document Object Model representing a web page's structure.
what is virtual dom,A lightweight copy of the DOM used for efficient UI updates.
what is state management,Managing and sharing data across components in an application.
what is redux,A predictable state container for JavaScript applications.
what is material design,A design system created by Google for consistent UI.
what is bootstrap,A CSS framework for building responsive mobile-first websites.
what is sass,A CSS preprocessor adding variables nesting and mixins.
what is less css,A dynamic stylesheet language extending CSS with variables.
what is css grid,A two-dimensional CSS layout system for rows and columns.
what is flexbox,A one-dimensional CSS layout model for distributing space.
what is css animation,Creating animated transitions using CSS keyframes.
what is media query,A CSS technique applying styles based on device characteristics.
what is web component,Reusable custom elements encapsulating HTML CSS and JavaScript.
what is shadow dom,An encapsulated DOM tree attached to a web component.
what is service worker,A script running in the background enabling offline web features.
what is local storage,Browser storage for saving key-value pairs persistently.
what is session storage,Browser storage cleared when the page session ends.
what is indexeddb,A low-level API for storing large amounts of structured data in browsers.
what is fetch api,A modern JavaScript interface for making HTTP requests.
what is promise in javascript,An object representing the eventual completion of an async operation.
what is async await,JavaScript syntax for writing asynchronous code that reads like sync.
what is closure in javascript,A function that retains access to its outer scope variables.
what is hoisting in javascript,Moving declarations to the top of scope during compilation.
what is prototype in javascript,An object from which other objects inherit properties.
what is event loop,A mechanism handling asynchronous operations in JavaScript.
what is callback function,A function passed as an argument to be called later.
what is destructuring,Extracting values from arrays or objects into distinct variables.
what is spread operator,Syntax expanding an iterable into individual elements.
what is rest parameter,Syntax collecting remaining arguments into an array.
what is template literal,A string allowing embedded expressions using backticks.
what is map in javascript,A collection of key-value pairs remembering insertion order.
what is set in javascript,A collection of unique values.
what is symbol in javascript,A primitive type for creating unique identifiers.
what is proxy in javascript,An object wrapping another to intercept operations on it.
what is generator in javascript,A function that can pause and resume its execution.
what is iterator in javascript,An object defining a sequence and a return value.
what is module in javascript,A file containing reusable code that can be imported.
what is tree shaking,Removing unused code from the final bundle.
what is code splitting,Dividing code into smaller chunks loaded on demand.
what is hot module replacement,Updating modules in a running application without full reload.
what is source map,A file mapping compiled code back to original source code.
what is transpiling,Converting source code from one language version to another.
what is babel,A JavaScript compiler converting modern JS to backwards-compatible code.
what is polyfill,Code providing modern functionality on older browsers.
what is web worker,A script running in the background thread in a browser.
what is cross-platform development,Building applications that run on multiple operating systems.
what is react native,A framework for building native mobile apps using React.
what is flutter,A UI toolkit by Google for building natively compiled apps.
what is electron,A framework for building cross-platform desktop apps with web technologies.
what is progressive enhancement,Building web content for all browsers then adding features for modern ones.
what is graceful degradation,Building for modern browsers while ensuring basic function on older ones.
what is semantic versioning,A versioning scheme using major minor and patch numbers.
what is a changelog,A file documenting notable changes to a project.
what is open source license,Legal terms defining how open-source software can be used.
what is mit license,A permissive open-source license allowing free use and distribution.
what is apache license,An open-source license allowing use modification and distribution.
what is gpl license,A copyleft license requiring derivative works to remain open source.
what is creative commons,A set of licenses for sharing creative work with specific permissions.
what is documentation in coding,Written text explaining how software works and how to use it.
what is readme file,A file providing essential information about a project.
what is a specification,A detailed description of design and behavior requirements.
what is wireframing,Creating a basic visual guide for a web page layout.
what is prototyping,Building a preliminary model of a product to test concepts.
what is user experience design,Designing products to provide meaningful experiences to users.
what is user interface design,Designing the visual layout users interact with.
what is a/b testing,Comparing two versions to determine which performs better.
what is usability testing,Evaluating a product by testing it with representative users.
what is performance optimization,Improving the speed and efficiency of software systems.
what is lazy loading,Deferring the loading of resources until they are needed.
what is minification,Removing unnecessary characters from code to reduce file size.
what is compression in web,Reducing file sizes for faster network transfer.
what is http2,A major revision of HTTP improving speed and efficiency.
what is http3,The latest HTTP version using QUIC for faster connections.
what is graphql subscription,A GraphQL feature enabling real-time data updates via websockets.
what is microservices architecture,Structuring an application as a collection of loosely coupled services.
what is api gateway,A server acting as a single entry point for a group of microservices.
what is service mesh,Infrastructure managing service-to-service communication in microservices.
what is serverless function,A small piece of code executed on demand without managing servers.
what is canary deployment,Gradually rolling out changes to a small subset of users first.
what is blue green deployment,Running two identical environments and switching traffic between them.
what is feature flag,A toggle enabling or disabling features without deploying new code.
what is trunk based development,A branching model where developers merge small changes to a main branch.
what is gitflow,A branching model using feature release and hotfix branches.
what is pair review,Two developers reviewing each other's code for quality assurance.
what is mob programming,An approach where the whole team works on the same code together.
what is rubber duck debugging,Explaining code line by line to an inanimate object to find bugs.
what is imposter syndrome,Feeling like a fraud despite being competent in your field.
what is open closed principle,Software entities should be open for extension but closed for modification.
what is liskov substitution principle,Subtypes must be substitutable for their base types without errors.
what is interface segregation principle,Clients should not depend on interfaces they do not use.
what is dependency inversion principle,High-level modules should not depend on low-level modules.
what is separation of concerns,Dividing a program into distinct sections each handling a specific concern.
